,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
12,22,female,2,own,little,moderate,1567,12,radio/TV,good
395,32,male,2,rent,moderate,moderate,11760,39,education,good
270,32,male,2,own,,,2662,18,car,good
875,40,female,2,own,rich,moderate,1322,11,car,good
185,31,male,2,own,little,,1360,15,radio/TV,good
693,44,male,1,own,,little,4716,6,car,good
317,48,female,1,own,,moderate,4351,24,furniture/equipment,good
384,26,male,1,own,moderate,,4272,30,business,good
158,38,male,2,own,moderate,moderate,3512,24,car,good
893,34,male,2,own,little,moderate,5800,36,car,good
897,35,female,2,own,rich,,1592,12,furniture/equipment,good
208,21,male,1,own,little,little,6568,24,business,good
70,30,female,2,own,little,,8133,36,car,good
211,45,female,1,own,,,3835,36,radio/TV,good
802,24,female,2,own,little,little,4272,20,furniture/equipment,good
159,34,male,1,own,,,1898,6,radio/TV,good
627,29,male,2,own,moderate,moderate,1437,9,car,bad
349,32,male,2,free,rich,moderate,1136,9,education,bad
215,39,female,1,own,,moderate,932,6,education,good
81,47,male,2,own,quite rich,,1213,15,radio/TV,good
259,57,female,1,own,moderate,,1154,11,radio/TV,good
42,44,male,1,own,little,moderate,6204,18,repairs,good
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,good
780,25,male,2,own,little,moderate,4933,39,radio/TV,bad
251,46,female,1,own,little,rich,2251,12,furniture/equipment,good
975,57,female,1,own,quite rich,rich,1258,24,radio/TV,good
406,43,male,2,own,,,2197,24,car,good
361,37,male,3,own,,rich,3399,12,radio/TV,good
961,47,male,2,own,little,moderate,2353,21,car,good
96,61,female,2,own,,,2012,12,education,good
917,68,male,3,own,little,little,14896,6,car,bad
170,33,male,2,rent,little,little,950,15,car,bad
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,good
57,31,female,2,own,little,,9566,36,radio/TV,good
214,51,male,2,own,,,3342,36,radio/TV,good
992,23,male,1,rent,,little,1936,18,radio/TV,good
819,26,male,2,own,little,little,1345,18,radio/TV,bad
515,37,female,2,own,little,little,609,6,car,good
969,40,male,1,own,little,little,3939,11,car,good
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good
758,31,male,2,own,little,,1393,24,car,good
852,35,male,2,free,little,,1471,15,radio/TV,good
655,22,male,2,free,little,little,3973,14,car,good
311,25,male,2,own,moderate,,5511,24,furniture/equipment,good
333,24,female,1,rent,moderate,,11590,48,car,bad
943,42,male,1,own,little,,1455,4,car,good
615,48,male,3,own,,moderate,12204,48,business,good
92,33,female,1,own,,,797,12,radio/TV,bad
454,31,male,2,own,little,little,4817,24,car,bad
430,74,male,1,own,little,,3448,5,business,good
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good
843,50,male,2,own,little,,1559,24,business,good
264,32,male,1,own,little,,1231,10,car,good
363,21,male,2,rent,little,,1766,6,furniture/equipment,good
689,31,male,2,own,rich,little,3651,12,car,good
434,25,male,2,own,little,little,2136,9,furniture/equipment,good
258,23,female,2,own,moderate,,3812,15,car,good
147,51,female,2,own,moderate,,682,12,car,good
510,26,male,2,own,little,little,759,12,car,bad
453,35,male,3,own,little,,2670,24,car,good
148,28,male,2,own,little,little,5371,36,furniture/equipment,good
597,36,male,1,own,little,moderate,4241,24,business,bad
319,27,female,1,own,little,little,3643,15,furniture/equipment,good
534,25,male,2,own,,,3105,24,radio/TV,good
771,25,female,3,own,little,little,8065,36,education,bad
596,23,female,2,rent,little,little,1442,24,car,bad
399,43,female,1,own,rich,,1516,24,radio/TV,good
255,27,male,1,own,,moderate,7418,60,radio/TV,good
737,35,male,1,own,moderate,little,4380,18,car,good
661,23,male,2,own,,little,900,12,car,bad
504,24,female,2,rent,little,little,1207,24,car,bad
111,23,female,2,rent,little,rich,392,15,education,good
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad
547,32,male,2,own,little,,1552,24,radio/TV,good
702,47,female,2,free,moderate,rich,1377,24,radio/TV,good
324,36,female,2,own,little,,1028,18,car,good
329,28,male,2,own,little,moderate,1068,6,radio/TV,good
796,51,male,2,free,,little,7511,18,car,bad
373,63,male,3,free,,,13756,60,car,good
245,25,male,2,own,little,,1258,24,business,good
772,36,male,3,own,little,,3275,21,car,good
816,62,male,2,own,quite rich,,1338,6,domestic appliances,good
741,23,male,1,own,little,moderate,1048,10,radio/TV,good
887,23,male,2,own,little,moderate,15672,48,business,bad
139,44,female,1,rent,little,rich,1881,12,radio/TV,good
676,33,male,2,own,little,,5150,24,furniture/equipment,good
187,68,male,0,free,little,moderate,1175,16,car,good
35,25,male,1,own,little,moderate,4746,45,radio/TV,bad
303,49,male,2,own,little,little,1038,10,car,good
700,29,female,1,rent,quite rich,,1123,12,furniture/equipment,bad
77,51,male,2,own,little,moderate,4771,11,radio/TV,good
59,23,female,1,rent,little,little,6229,36,furniture/equipment,bad
6,53,male,2,own,quite rich,,2835,24,furniture/equipment,good
191,34,male,1,free,moderate,moderate,3844,48,business,bad
965,26,female,2,own,,moderate,1715,30,radio/TV,good
753,25,female,2,own,little,,5771,30,radio/TV,good
928,58,male,2,own,,,1867,30,radio/TV,good
569,31,female,2,own,little,little,6758,48,radio/TV,bad
494,39,male,1,rent,little,little,2122,12,car,good
682,33,male,2,own,little,,1478,15,radio/TV,good
501,42,male,2,free,little,little,5493,36,car,good
658,28,female,2,own,little,moderate,4221,30,business,good
628,36,male,2,own,quite rich,,4042,42,furniture/equipment,good
512,26,male,2,rent,little,rich,2687,15,business,good
64,26,female,2,own,little,,3181,24,radio/TV,good
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad
156,48,male,2,own,moderate,little,1288,9,repairs,good
759,35,male,2,own,little,little,691,12,car,bad
178,31,male,3,rent,little,,1963,12,radio/TV,good
486,52,male,2,own,little,,3077,12,radio/TV,good
283,63,male,2,own,,,1520,15,furniture/equipment,good
756,74,male,0,own,little,rich,1299,6,car,good
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good
237,61,male,1,rent,moderate,moderate,2767,21,business,bad
414,35,female,2,own,,little,1381,24,car,bad
616,27,male,3,free,,moderate,9157,60,radio/TV,good
944,46,female,2,rent,little,little,1845,15,furniture/equipment,good
447,35,male,2,own,little,moderate,2576,7,radio/TV,good
734,37,female,2,own,little,,3380,4,car,good
760,59,female,2,own,,,5045,15,car,good
489,26,male,2,rent,little,,3518,6,car,good
9,28,male,3,own,little,moderate,5234,30,car,bad
313,25,male,1,own,little,moderate,685,12,car,bad
83,58,female,1,own,little,little,1755,24,vacation/others,good
445,41,female,1,rent,,,1244,9,education,good
662,50,male,2,own,little,,2241,21,furniture/equipment,good
505,27,male,1,own,,,1309,10,car,bad
524,26,female,1,own,little,moderate,1113,18,radio/TV,good
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good
649,40,male,1,rent,little,little,684,12,education,bad
235,30,male,3,own,little,little,1823,24,radio/TV,bad
964,22,male,1,own,little,moderate,454,6,repairs,good
839,46,male,2,own,little,,2611,24,radio/TV,good
157,45,male,1,own,little,little,339,12,education,good
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad
219,64,female,2,own,little,,1364,10,car,good
16,53,male,2,own,,,2424,24,radio/TV,good
115,47,male,2,own,,,3578,48,radio/TV,good
175,53,female,3,own,,,7485,30,car,bad
388,27,male,2,own,quite rich,moderate,2326,15,business,good
788,50,male,2,free,little,moderate,6224,48,education,bad
690,25,male,2,own,little,little,975,15,furniture/equipment,good
465,63,male,2,own,little,little,2924,24,car,good
34,33,female,3,own,little,rich,1474,12,furniture/equipment,good
467,32,male,2,own,,,7238,48,radio/TV,good
593,20,female,1,rent,little,moderate,2718,24,car,bad
436,23,male,1,rent,quite rich,,660,6,repairs,good
936,28,female,1,own,little,rich,745,9,radio/TV,bad
239,39,male,2,own,little,little,2522,30,radio/TV,good
230,26,male,2,own,little,rich,4210,36,radio/TV,bad
953,26,female,3,own,little,,10974,36,furniture/equipment,bad
260,27,male,2,own,little,little,1657,12,furniture/equipment,good
626,41,male,2,own,little,rich,2116,6,furniture/equipment,good
484,44,male,2,own,quite rich,,1163,12,car,good
716,40,male,2,own,,,3077,30,radio/TV,good
449,61,male,2,own,rich,moderate,1512,15,repairs,bad
686,27,male,2,own,,rich,1347,10,radio/TV,good
976,64,female,2,own,little,moderate,753,6,radio/TV,good
955,57,female,3,rent,rich,little,1231,24,radio/TV,good
933,42,male,2,own,quite rich,,522,12,radio/TV,good
825,30,male,2,own,little,little,1602,21,car,good
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good
978,47,male,1,own,little,,2538,24,car,bad
340,24,female,2,free,little,moderate,5743,24,education,good
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,bad
474,33,male,2,own,little,moderate,1245,18,radio/TV,bad
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,bad
423,34,male,3,own,moderate,,1591,21,furniture/equipment,good
183,50,male,2,own,rich,,3777,24,furniture/equipment,good
828,47,male,2,free,,little,8335,36,car,bad
892,38,male,1,own,little,little,2171,12,car,good
417,23,female,2,rent,,little,8471,18,education,good
869,24,female,2,rent,little,little,652,12,furniture/equipment,good
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad
33,57,male,1,rent,,,1264,12,business,good
129,29,female,2,own,little,little,3499,12,car,bad
144,23,female,2,own,little,,2288,21,furniture/equipment,good
82,24,female,1,rent,moderate,,1568,18,business,good
523,23,female,2,own,moderate,,3488,24,car,good
130,24,female,2,own,,moderate,8487,48,car,good
379,52,female,1,own,moderate,,362,6,car,good
528,31,male,2,rent,little,little,2302,36,radio/TV,bad
236,23,male,0,own,,moderate,14555,6,car,bad
161,30,female,2,own,little,,1055,18,car,good
99,36,male,3,rent,,moderate,7057,20,car,good
697,38,female,0,own,little,,926,12,car,good
182,40,male,1,own,,little,1647,21,car,bad
281,50,male,2,own,little,,1574,12,furniture/equipment,good
840,29,male,2,own,little,little,5179,36,furniture/equipment,bad
102,24,female,2,own,little,,932,6,radio/TV,good
645,27,male,2,rent,,,7980,36,business,bad
135,38,female,2,own,,,1240,12,radio/TV,good
383,26,male,2,own,little,rich,1330,12,car,good
252,24,female,2,own,little,moderate,2150,30,car,bad
670,27,male,1,own,moderate,,4139,24,business,good
376,34,male,2,own,little,,2320,18,radio/TV,good
640,27,female,0,own,little,little,750,18,education,bad
711,35,female,2,free,little,little,1198,6,education,bad
44,58,female,1,free,little,little,6143,48,car,bad
556,28,female,2,own,moderate,moderate,2278,18,car,bad
789,27,male,2,own,little,little,5998,40,education,bad
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad
722,24,female,1,own,little,little,1228,12,car,bad
263,57,female,1,free,little,,2748,12,education,good
793,51,male,2,free,little,rich,2892,24,furniture/equipment,good
672,42,male,3,own,little,,10366,60,car,good
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad
286,26,male,2,own,little,little,4788,48,car,good
921,37,male,3,own,quite rich,,12749,48,radio/TV,good
272,36,male,3,free,,moderate,12169,48,car,good
586,36,male,2,rent,little,little,2799,9,car,good
714,27,male,3,own,little,moderate,14027,60,car,bad
922,22,female,2,rent,little,little,1366,9,radio/TV,bad
310,40,male,0,free,,moderate,5381,48,vacation/others,good
209,55,male,2,own,rich,,1413,12,car,good
420,20,female,2,rent,rich,,3186,15,car,good
864,25,male,1,rent,little,,2210,10,furniture/equipment,bad
630,28,female,2,own,little,little,3660,24,radio/TV,good
196,28,female,2,own,little,,1382,6,radio/TV,good
151,38,male,2,own,little,,1924,10,radio/TV,good
52,25,male,2,own,little,,1262,12,radio/TV,good
343,33,male,3,own,little,moderate,4439,18,business,good
217,23,male,2,own,little,rich,3913,36,radio/TV,good
446,34,female,2,own,little,little,1842,36,car,bad
499,28,male,2,own,moderate,rich,1323,6,car,good
3,45,male,2,free,little,little,7882,42,furniture/equipment,good
344,37,male,1,own,little,rich,3949,10,car,good
708,25,female,2,own,little,moderate,1206,9,radio/TV,good
994,50,male,2,own,,,2390,12,car,good
47,23,female,0,rent,quite rich,little,1352,6,car,good
871,46,male,2,own,little,rich,1343,6,car,good
860,27,male,2,own,rich,,5804,24,car,good
896,28,female,3,rent,little,little,2606,21,radio/TV,good
112,28,male,1,rent,little,moderate,6260,18,car,good
108,30,female,2,own,,little,7721,24,furniture/equipment,good
623,22,female,2,rent,little,little,1858,12,furniture/equipment,good
610,22,female,2,own,moderate,little,741,12,domestic appliances,bad
316,38,male,1,own,little,little,708,12,furniture/equipment,good
557,29,female,2,own,,,5003,21,car,bad
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad
696,29,male,2,own,little,moderate,1103,12,radio/TV,good
774,66,male,0,free,quite rich,rich,1480,12,car,good
846,68,male,2,rent,,,6761,18,car,bad
90,56,male,2,own,little,,618,12,radio/TV,good
321,32,male,2,own,little,little,1938,24,radio/TV,bad
206,43,male,2,own,little,,1935,12,furniture/equipment,good
30,36,male,2,own,rich,moderate,1913,18,business,good
190,54,male,3,own,rich,,4591,24,business,bad
50,29,male,1,own,,moderate,2333,24,furniture/equipment,good
241,51,male,2,own,little,,1595,6,radio/TV,good
642,40,male,3,own,moderate,,4623,15,education,bad
720,34,male,3,own,little,rich,1337,9,radio/TV,bad
958,45,male,1,own,little,little,4006,28,car,bad
853,32,male,1,free,little,little,1442,18,car,bad
960,30,male,2,rent,little,,1740,6,radio/TV,good
416,33,male,1,own,little,little,2579,12,car,bad
613,22,female,2,rent,little,little,3632,24,car,good
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good
502,49,male,2,own,moderate,rich,1126,9,radio/TV,good
271,37,female,2,rent,quite rich,,1402,12,furniture/equipment,good
437,37,female,2,own,rich,,1287,24,car,good
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad
426,29,male,2,own,little,,2743,28,radio/TV,good
941,31,male,1,own,little,,1546,10,car,good
15,32,female,1,own,moderate,little,1282,24,radio/TV,bad
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,bad
971,43,male,1,own,little,,7393,24,car,good
709,37,male,1,own,little,moderate,2118,9,radio/TV,good
791,41,male,3,own,,,6313,24,car,good
210,33,male,2,own,,,3074,9,radio/TV,good
240,29,female,2,own,,little,915,24,car,bad
